id,name,state,created_at,updated_at,url,tags,config.conv.type,config.data.dataset_name,config.data.context_length,config.data.dataset_config,config.data.val_token_limit,config.data.train_token_limit,config.data.eval_context_lengths,config.seed,config.model.d_model,config.model.dropout,config.model.n_heads,config.model.n_layers,config.model.attention.type,config.model.attention.block_size,config.model.attention.window_size,config.model.attention.num_kv_heads,config.model.vocab_size,config.model.max_seq_len,config.model.ff_multiplier,config.logging.wandb.tags,config.logging.wandb.group,config.logging.wandb.enable,config.logging.wandb.entity,config.logging.wandb.project,config.trainer.use_amp,config.trainer.grad_clip,config.trainer.max_steps,config.trainer.batch_size,config.trainer.num_workers,config.trainer.eval_batches,config.trainer.warmup_steps,config.trainer.weight_decay,config.trainer.eval_interval,config.trainer.learning_rate,config.experiment.name,config.pos_encoding.type,summary._runtime,summary._wandb,config.conv.kernel_size,summary._step,summary._timestamp,summary.optim/lr,summary.step,summary.system/peak_gpu_mem_gb,summary.system/tokens_per_sec,summary.train/loss,summary.val/loss,summary.val/perplexity,config.pos_encoding.max_relative_positions,config.conv.replace_layers,config.trainer.checkpoint_interval,summary.extrap/loss_L1024,summary.extrap/loss_L2048,summary.extrap/loss_L512,summary.extrap/ppl_L1024,summary.extrap/ppl_L2048,summary.extrap/ppl_L512,config.trainer.inference_benchmark_batches,summary.stability/grad_norm,summary.stability/train_loss_is_finite,summary.stability/val_loss_is_finite,summary.system/inference_tokens_per_sec,summary.system/sec_per_virtual_epoch,summary.system/virtual_epoch,config.model.attention.linear_chunk_size,summary.val/best_loss,summary.val/best_perplexity,summary.val/best_step,config.resume,config.model.attention.linear_feature_eps,config.model.attention.linear_output_clip,config.model.attention.aft_variant,config.model.attention.aft_chunk_size,created_ts,is_final_tag,report_loss,report_ppl,report_step,virtual_epoch_time_sec,part,requirement,candidate_count
gyealu4a,coreml_p1_baseline_full_abs_ctx1024,finished,2026-05-20T16:05:30Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/gyealu4a,final,none,wikitext,1024,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,full,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,4,2,40,500,0.01,500,0.0003,coreml_p1_baseline_full_abs_ctx1024,absolute,2430.0,{'runtime': 2430},3.0,25.0,1779295562.06523,3.00000050374162e-05,12000.0,4.14113712310791,20993.080383016048,3.2775750160217285,4.17472460269928,65.02193033093884,,,2500.0,4.174698781967163,4.868926572799682,4.265037894248962,65.02025143876925,130.18110193350907,71.16761676568598,5.0,1.4227651357650757,1.0,1.0,72664.61124803555,118412.24720937607,0.0197728104084074,,,,,,,,,,2026-05-20 16:05:30+00:00,True,4.17472460269928,65.02193033093884,12000.0,115.68578577752704,Part 1,Baseline full-attention Transformer at context 1024,3
s7jtrjqq,coreml_p2_sliding_window_ctx512,finished,2026-05-21T12:08:01Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/s7jtrjqq,final,none,wikitext,512,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,sliding_window,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,8,2,40,500,0.01,500,0.0003,coreml_p2_sliding_window_ctx512,absolute,2124.0,{'runtime': 2124},3.0,25.0,1779367408.002941,3.00000050374162e-05,12000.0,3.647210597991944,23992.306284709488,3.117954730987549,4.179901683330536,65.35942697693355,,,2500.0,4.585937750339508,5.160663545131683,4.179877930879593,98.09513276840735,174.2800599318423,65.35787454878768,5.0,1.5221285820007324,1.0,1.0,85152.4134729107,51815.82134070581,0.0395372820095482,,4.160969692468643,64.13368240593338,8500.0,,,,,,2026-05-21 12:08:01+00:00,True,4.160969692468643,64.13368240593338,8500.0,101.22415791047854,Part 2,Sliding-window attention at context 512,3
jyniv41v,coreml_p2_sliding_window_ctx1024,finished,2026-05-21T12:43:44Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/jyniv41v,final,none,wikitext,1024,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,sliding_window,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,4,2,40,500,0.01,500,0.0003,coreml_p2_sliding_window_ctx1024,absolute,2448.0,{'runtime': 2448},3.0,25.0,1779369874.0197256,3.00000050374162e-05,12000.0,4.14113712310791,20706.17567096882,3.239920139312744,4.261185097694397,70.8939499468296,,,2500.0,4.261189520359039,4.929094469547271,4.310339951515198,70.89426348768875,138.25426219497194,74.4657993992735,5.0,1.4373202323913574,1.0,1.0,71561.90364070816,120052.96697474072,0.0197728104084074,,4.256069672107697,70.53222320324154,8500.0,,,,,,2026-05-21 12:43:44+00:00,True,4.256069672107697,70.53222320324154,8500.0,117.28872770093562,Part 2,Sliding-window attention at context 1024,3
30zfwy42,coreml_p2_sliding_window_ctx2048,finished,2026-05-21T13:24:48Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/30zfwy42,final,none,wikitext,2048,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,sliding_window,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,2,2,40,500,0.01,500,0.0003,coreml_p2_sliding_window_ctx2048,absolute,3163.0,{'runtime': 3163},3.0,25.0,1779373052.515291,3.00000050374162e-05,12000.0,5.150422096252441,15911.639571015616,4.005863189697266,4.848075830936432,127.4948320628272,,,2500.0,4.592076170444488,4.848060536384582,4.631008207798004,98.69913381309952,127.49288210141955,102.6174717087489,5.0,1.3336113691329956,1.0,1.0,50962.66001186795,312323.47074103565,0.0098905772470567,,4.8110338807106015,122.8585729862938,8000.0,,,,,,2026-05-21 13:24:48+00:00,True,4.8110338807106015,122.8585729862938,8000.0,152.630468353739,Part 2,Sliding-window attention at context 2048,3
pnuksk52,coreml_p2_sliding_window_ctx4096,finished,2026-05-21T14:17:47Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/pnuksk52,final,none,wikitext,4096,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,sliding_window,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,1,2,40,500,0.01,500,0.0003,coreml_p2_sliding_window_ctx4096,absolute,4469.0,{'runtime': 4469},3.0,25.0,1779377537.926469,3.00000050374162e-05,12000.0,7.186562538146973,11180.631961277246,3.720937967300415,5.056420111656189,157.02736847551702,,,2500.0,4.57640973329544,4.911959254741669,4.723377001285553,97.16491925385608,135.9054270825039,112.54768531294006,5.0,1.231760859489441,1.0,1.0,33951.879491705804,888212.089834816,0.0049494639111901,,5.0342731237411495,153.58791262066225,8000.0,,,,,,2026-05-21 14:17:47+00:00,True,5.0342731237411495,153.58791262066225,8000.0,217.21500255183813,Part 2,Sliding-window attention at context 4096,3
c27xrb4g,coreml_p2_sparse_block_ctx512,finished,2026-05-21T15:32:32Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/c27xrb4g,final,none,wikitext,512,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,sparse_block,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,8,2,40,500,0.01,500,0.0003,coreml_p2_sparse_block_ctx512,absolute,2117.0,{'runtime': 2117},3.0,25.0,1779379671.2754762,3.00000050374162e-05,12000.0,3.647210597991944,24080.93460222391,3.238647699356079,4.251022779941559,70.17715143662817,,,2500.0,4.312189733982086,4.796801197528839,4.250993871688843,74.6036724076085,121.12235070035544,70.17512276712233,5.0,1.529333233833313,1.0,1.0,84864.68652457229,51625.11657189544,0.0395372820095482,,4.235276246070862,69.0807593862718,8000.0,,,,,,2026-05-21 15:32:32+00:00,True,4.235276246070862,69.0807593862718,8000.0,100.85160896436781,Part 2,Sparse-block attention at context 512,1
0gmcbzac,coreml_p2_sparse_block_ctx1024,finished,2026-05-21T16:08:06Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/0gmcbzac,final,none,wikitext,1024,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,sparse_block,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,4,2,40,500,0.01,500,0.0003,coreml_p2_sparse_block_ctx1024,absolute,2439.0,{'runtime': 2439},3.0,25.0,1779382127.1753168,3.00000050374162e-05,12000.0,4.14113712310791,20789.533062412607,3.216625452041626,4.10837277173996,60.847623994234965,,,2500.0,4.108372116088868,4.600418889522553,4.200731873512268,60.847584099436894,99.52599730881184,66.73515486449662,5.0,1.55118989944458,1.0,1.0,71577.30639936056,119571.60444812416,0.0197728104084074,,4.105533635616302,60.67511431202836,10500.0,,,,,,2026-05-21 16:08:06+00:00,True,4.105533635616302,60.67511431202836,10500.0,116.81844862552016,Part 2,Sparse-block attention at context 1024,1
0zx17pfo,coreml_p2_sparse_block_ctx2048,finished,2026-05-21T16:49:01Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/0zx17pfo,final,none,wikitext,2048,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,sparse_block,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,2,2,40,500,0.01,500,0.0003,coreml_p2_sparse_block_ctx2048,absolute,3162.0,{'runtime': 3162},3.0,25.0,1779385304.3277705,3.00000050374162e-05,12000.0,5.145539283752441,15920.589747393706,3.79274582862854,4.383720231056214,80.13560250613143,,,2500.0,4.111244118213653,4.383740532398224,4.244296479225159,61.0225896781626,80.13722938291893,69.7067027759392,5.0,1.5204576253890991,1.0,1.0,51115.42119941917,312147.8899243384,0.0098905772470567,,4.370610666275025,79.0919157209101,9500.0,,,,,,2026-05-21 16:49:01+00:00,True,4.370610666275025,79.0919157209101,9500.0,152.5446631396036,Part 2,Sparse-block attention at context 2048,1
rf7qslez,coreml_p2_sparse_block_ctx4096,finished,2026-05-21T17:41:58Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/rf7qslez,final,none,wikitext,4096,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,sparse_block,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,1,2,40,500,0.01,500,0.0003,coreml_p2_sparse_block_ctx4096,absolute,4449.0,{'runtime': 4449},3.0,25.0,1779389768.649172,3.00000050374162e-05,12000.0,7.184380531311035,11233.85888547647,3.5315017700195312,4.577132833003998,97.23520458724008,,,2500.0,4.104116606712341,4.45091028213501,4.269386959075928,60.589196809465975,85.70492416619174,71.47780336648319,5.0,1.4866639375686646,1.0,1.0,34745.403676354785,884003.6697308753,0.0049494639111901,,4.573717558383942,96.90368609641992,11500.0,,,,,,2026-05-21 17:41:58+00:00,True,4.573717558383942,96.90368609641992,11500.0,216.18582045211386,Part 2,Sparse-block attention at context 4096,1
vqwj1dkl,coreml_p2_gqa_ctx512,finished,2026-05-21T18:56:23Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/vqwj1dkl,final,none,wikitext,512,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,gqa,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,8,2,40,500,0.01,500,0.0003,coreml_p2_gqa_ctx512,absolute,2063.0,{'runtime': 2063},3.0,25.0,1779391847.1810951,3.00000050374162e-05,12000.0,3.6308188438415527,24728.729414323778,3.112624168395996,4.159433060884476,64.03520824257104,,,2500.0,4.573302376270294,5.196712470054626,4.159406131505966,96.86346176999436,180.67728246101944,64.03348383742899,5.0,1.5602747201919556,1.0,1.0,87971.7232518208,50272.74289636185,0.0395372820095482,,4.138351935148239,62.69940356967389,9500.0,,,,,,2026-05-21 18:56:23+00:00,True,4.138351935148239,62.69940356967389,9500.0,98.20969607088935,Part 2,Grouped-query attention at context 512,1
mdbgwpzd,coreml_p2_gqa_ctx1024,finished,2026-05-21T19:31:01Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/mdbgwpzd,final,none,wikitext,1024,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,gqa,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,4,2,40,500,0.01,500,0.0003,coreml_p2_gqa_ctx1024,absolute,2397.0,{'runtime': 2397},3.0,25.0,1779394259.0007775,3.00000050374162e-05,12000.0,4.12425708770752,21179.524351249493,3.5359957218170166,4.186104691028595,65.76611203687968,,,2500.0,4.186139690876007,4.829746699333191,4.320782232284546,65.76841388104774,125.17924865144484,75.24746627398815,5.0,1.6019841432571411,1.0,1.0,73944.48439294308,117369.86075673351,0.0197728104084074,,4.186104691028595,65.76611203687968,12000.0,,,,,,2026-05-21 19:31:01+00:00,True,4.186104691028595,65.76611203687968,12000.0,114.66740044408617,Part 2,Grouped-query attention at context 1024,1
2k9836jo,coreml_p2_gqa_ctx2048,finished,2026-05-21T20:11:14Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/2k9836jo,final,none,wikitext,2048,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,gqa,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,2,2,40,500,0.01,500,0.0003,coreml_p2_gqa_ctx2048,absolute,3096.0,{'runtime': 3096},3.0,25.0,1779397371.200391,3.00000050374162e-05,12000.0,5.134030342102051,16265.32425930985,4.15178918838501,4.71422815322876,111.52269950994156,,,2500.0,4.435383379459381,4.714247477054596,4.638145911693573,84.38446996014987,111.52485457598569,103.3525450835619,5.0,1.6180590391159058,1.0,1.0,52890.43849051554,305532.08880268974,0.0098905772470567,,4.697725331783294,109.69736333756832,9000.0,,,,,,2026-05-21 20:11:14+00:00,True,4.697725331783294,109.69736333756832,9000.0,149.31156374641174,Part 2,Grouped-query attention at context 2048,1
0i87yv2e,coreml_p2_gqa_ctx4096,finished,2026-05-21T21:03:05Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/0i87yv2e,final,none,wikitext,4096,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,gqa,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,1,2,40,500,0.01,500,0.0003,coreml_p2_gqa_ctx4096,absolute,4348.0,{'runtime': 4348},3.0,25.0,1779401734.515664,3.00000050374162e-05,12000.0,7.168347358703613,11503.418178159023,3.874433040618897,5.03025916814804,152.97265319784518,,,2500.0,4.47741687297821,4.8134124159812925,4.670164799690246,88.00704543001987,123.15114424304171,106.71532763633196,5.0,1.3916138410568235,1.0,1.0,36902.06155748582,863288.8352137865,0.0049494639111901,,5.0105071544647215,149.98078028669966,11000.0,,,,,,2026-05-21 21:03:05+00:00,True,5.0105071544647215,149.98078028669966,11000.0,211.11994386251783,Part 2,Grouped-query attention at context 4096,1
uz6g881m,coreml_p3_rope_train512,finished,2026-05-21T22:15:50Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/uz6g881m,final,none,wikitext,512,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,full,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,8,2,40,500,0.01,500,0.0003,coreml_p3_rope_train512,rope,2176.0,{'runtime': 2176},3.0,25.0,1779403927.1396844,3.00000050374162e-05,12000.0,3.625603199005127,23424.684253250347,2.7438971996307373,4.15881889462471,63.99589205280585,,,2500.0,4.27143805027008,4.979033255577088,4.158830451965332,71.62456131506296,145.3338130643675,63.996631679402725,5.0,1.5902076959609983,1.0,1.0,82341.6289440081,53071.41144613292,0.0395372820095482,,4.079140776395798,59.094672492375096,7000.0,,,,,,2026-05-21 22:15:50+00:00,True,4.079140776395798,59.094672492375096,7000.0,103.67700045574846,Part 3,RoPE trained at context 512 with extrapolation eval,1
38i0pnm1,coreml_p3_alibi_train512,finished,2026-05-21T22:52:22Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/38i0pnm1,final,none,wikitext,512,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,full,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,8,2,40,500,0.01,500,0.0003,coreml_p3_alibi_train512,alibi,2176.0,{'runtime': 2176},3.0,25.0,1779406120.4066494,3.00000050374162e-05,12000.0,3.630608081817627,23421.08585120863,2.768449068069458,4.221101331710815,68.10845299819535,,,2500.0,4.106946706771851,4.427573108673096,4.221200239658356,60.76091317159239,83.7279714523776,68.11518979864763,5.0,1.3214746713638306,1.0,1.0,79161.43839629494,53079.56530699649,0.0395372820095482,,4.074213826656342,58.804232091297216,6000.0,,,,,,2026-05-21 22:52:22+00:00,True,4.074213826656342,58.804232091297216,6000.0,103.69292932994708,Part 3,ALiBi trained at context 512 with extrapolation eval,1
3b7o8z8s,coreml_p3_relative_train512,finished,2026-05-23T06:55:35Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/3b7o8z8s,final,none,wikitext,512,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,full,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,8,2,40,500,0.01,500,0.0003,coreml_p3_relative_train512,relative,1480.0,{'runtime': 1480},3.0,14.0,1779520816.0808485,3.00000050374162e-05,12000.0,3.964000701904297,35155.308980778325,2.875959873199463,4.275985419750214,71.95100632972887,128.0,,2500.0,4.128761458396911,4.439276170730591,4.27598670721054,62.10096066073984,84.71360129239196,71.95109896385462,5.0,1.683176040649414,1.0,1.0,72109.95627447292,35362.54102274361,0.0395372820095482,,4.1222933530807495,61.70058135059122,6000.0,/kaggle/input/datasets/krish247/check-1/SAiDL_Assignment/core_ml/checkpoints/coreml_p3_relative_train512/ckpt_latest.pt,,,,,2026-05-23 06:55:35+00:00,True,4.1222933530807495,61.70058135059122,6000.0,69.08205532563724,Part 3,Relative positional encoding trained at context 512 with extrapolation eval,2
e0lzy1ft,coreml_p4_pre_attention_gqa_rope_ctx1024,finished,2026-05-22T05:23:11Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/e0lzy1ft,final,pre_attention,wikitext,1024,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,gqa,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,4,2,40,500,0.01,500,0.0003,coreml_p4_pre_attention_gqa_rope_ctx1024,rope,2834.0,{'runtime': 2834},5.0,25.0,1779430226.5048044,3.00000050374162e-05,12000.0,4.236458778381348,17847.536677229677,2.9097237586975098,4.281617891788483,72.3574118203623,,,2500.0,4.281449222564698,4.634562683105469,4.417183411121369,72.3452083810767,102.98287199648767,82.86256658450836,5.0,1.582931637763977,1.0,1.0,63133.49908313292,139281.8442654606,0.0197728104084074,,4.146820199489594,63.23261318670567,4500.0,,,,,,2026-05-22 05:23:11+00:00,True,4.146820199489594,63.23261318670567,4500.0,136.0748569352133,Part 4,Pre-attention Conv1D hybrid with GQA and RoPE,2
h03r0qck,coreml_p4_gated_ffn_gqa_rope_ctx1024,finished,2026-05-23T08:07:40Z,,https://wandb.ai/krishsachdev246-bits-pilani/saidl-core-ml/runs/h03r0qck,final,gated_ffn,wikitext,1024,wikitext-2-raw-v1,300000,,"[512, 1024, 2048]",42,384,0.1,6,6,gqa,64,256,2,50257,4096,4,['final'],,True,,saidl-core-ml,True,1,12000,4,2,40,500,0.01,500,0.0003,coreml_p4_gated_ffn_gqa_rope_ctx1024,rope,4425.0,{'runtime': 4425},5.0,25.0,1779528085.9129603,3.00000050374162e-05,12000.0,4.667081832885742,11313.259652129038,0.8353284001350403,5.877033519744873,356.74938046418094,,,2500.0,5.877056086063385,6.20843403339386,6.05162342786789,356.7574310751656,496.9224776733397,424.8021061382013,5.0,1.820164918899536,1.0,1.0,43452.86126492248,219727.81500972543,0.0197728104084074,,4.272539854049683,71.70352101849419,3000.0,,,,,,2026-05-23 08:07:40+00:00,True,4.272539854049683,71.70352101849419,3000.0,214.6685459961986,Part 4,Gated convolutional FFN hybrid with GQA and RoPE,2
