attention/lag_22,attention/lag_28,q2_mean,attention/entropy_std,attention/lag_31,attention/lag_6,attention/lag_0,attention/lag_7,attention/lag_18,attention/lag_27,target_q_clipped_frac,eval/best_return,step,attention/lag_11,attention/lag_30,attention/lag_19,attention/lag_9,attention/lag_29,eval/return,critic2_loss,attention/lag_16,attention/lag_14,attention/lag_2,attention/lag_20,attention/lag_12,attention/effective_context_mean,exploration/noise_std,attention/lag_3,attention/lag_8,eval/best_step,attention/lag_5,attention/lag_13,attention/lag_17,actor_grad_norm,target_q_abs_max,target_q_mean,critic1_loss,attention/lag_10,actor_loss,target_noise_clip,q_gap_abs_mean,critic_sequence_context,attention/lag_1,attention/lag_4,attention/lag_23,eval/final_minus_best,_timestamp,_runtime,eval/return_std,attention/lag_26,attention/lag_24,obs_norm/enabled,critic2_grad_norm,obs_norm/count,_step,attention/lag_15,q1_mean,attention/lag_21,attention/lag_25,attention/entropy_mean,target_noise_std,critic1_grad_norm,attention/max_weight_mean
0.016801104774364296,0.014591216045694473,85.79559326171875,0.2036787327427152,0.01053679445400261,0.03373980298924904,0.017124787993155994,0.03352336795857319,0.023711912746135242,0.020287796115168392,0,250.31778521185947,925000.0,0.05762791320872612,0.029091198748837296,0.03035657302595866,0.0483818163168736,0.020927525740116835,221.42061214947802,1.608412265777588,0.01881111314233679,0.02304524617508436,0.04828922045154449,0.03335195602514805,0.03414264046993011,12.75489955413036,0.010000000000000002,0.05228932338647353,0.040493543627552496,845000,0.038857445516265354,0.025582976524168865,0.027628120376418035,NaN,122.66841125488281,85.3709716796875,1.4942567348480225,0.054197513420994464,0.0,0.15,0.7446259260177612,1,0.05814559243619442,0.04965338655962394,0.027925320071860767,-28.897173062381455,1780807639.3484633,342.77163657,61.70380380675902,0.024158722487493203,0.020457286367383906,1,11.316332817077637,939508.0,0,0.03134501308059463,85.78958129882812,0.013742031144837921,0.021181750454677222,2.3652930725537815,0.05,14.647466659545898,0.2870580499752974
0.017390780531483383,0.01432280705027931,85.9822769165039,0.21198050569858476,0.009173186771847584,0.030698796841423133,0.015540758749839288,0.034588658855901705,0.023651941493899376,0.019666078802733286,0,250.31778521185947,930000.0,0.05769619196877107,0.02689868090623007,0.03326520493470349,0.050785934382879934,0.020059405803658045,234.03894039795165,0.6990521550178528,0.020376360286735708,0.023905360261565662,0.04641643097368745,0.028768133822347487,0.03739645989337662,12.683048022998584,0.010000000000000002,0.05260308334478984,0.04693623235797858,845000,0.03771519990222113,0.02619223158388912,0.026841650566867402,2.2729225158691406,123.27191162109375,85.64881896972656,0.7696396112442017,0.0543571270301237,-86.88444519042969,0.15,0.6459777355194092,1,0.06063253553891862,0.04198664652036355,0.03223525659457125,-16.278844813907824,1780807978.7960885,682.219139853,66.42030755454253,0.021438033367088577,0.02312953944166039,1,4.804478645324707,944568.0,1,0.030019722615570964,86.05718994140625,0.013777450982339538,0.02153412837677778,2.362233805823493,0.05,6.4726176261901855,0.29092857344551487
0.01675395712773833,0.014606340930331498,88.23408508300781,0.20853915724475858,0.010458787344396115,0.03331241364280383,0.017300159288828984,0.03426858362845249,0.021633964330475364,0.01947069375594664,0,250.31778521185947,935000.0,0.06177303175959322,0.028225444021324316,0.03221908989569379,0.04468470817224847,0.023427865302397145,199.5722578947266,1.0207809209823608,0.01890781806367967,0.024491957136843767,0.04753770004337032,0.029656377161542576,0.035634880443621016,12.76256887435913,0.010000000000000002,0.05255729782705506,0.04820698847787248,845000,0.04026072734345992,0.024782053653875157,0.02294169794095473,NaN,123.44852447509766,87.9915771484375,1.0385348796844482,0.055573258217838074,0.0,0.15,0.8030129671096802,1,0.06258109456135166,0.04470131539015306,0.026490680928755967,-50.74552731713288,1780808322.3216236,1025.744546699,77.15744598304907,0.022207681467860108,0.019321792302653195,1,11.091487884521484,949629.0,2,0.030440253084525467,88.36912536621094,0.013201661255055418,0.022369737156097674,2.364233490626017,0.05,10.946457862854004,0.2904940358632141
0.016588696646902726,0.014232148003903967,90.2379379272461,0.2056373533299809,0.00934750674172859,0.030907902219749494,0.014496612666285297,0.032768859662086584,0.0230747161058035,0.018995890008142502,0,250.31778521185947,940000.0,0.059459880260743406,0.030339635668525378,0.03192827144750043,0.04548846251342141,0.022425406094022632,238.25140001333497,0.9334603548049927,0.01749624858487122,0.024431839727086346,0.04536123845929186,0.030949934693741892,0.03897060064964924,12.864675946736615,0.010000000000000002,0.05411158601757037,0.05155422858683689,845000,0.03798179769279718,0.026481547669674258,0.024853453308738883,NaN,123.89915466308594,90.04527282714844,0.9136977195739746,0.05416075864821267,0.0,0.15,0.7069383263587952,1,0.06169218470520025,0.04703513616768477,0.027843252453565278,-12.0663851985245,1780808669.531879,1372.954949222,55.34839981349962,0.019854173201937157,0.021285109608778403,1,7.980188846588135,954691.0,3,0.029299812554019405,90.18900299072266,0.013709191384214314,0.02287392961114993,2.3856752660951726,0.05,4.855928897857666,0.2849918882786532
0.014482119259728442,0.010837083179113305,86.84135437011719,0.1993069280307428,0.008704741434528755,0.035614918619059695,0.02093587505797058,0.03420087655526614,0.024698726889331585,0.01691193917583574,0,250.31778521185947,945000.0,0.05517161725100107,0.030466170059963167,0.0315460466562274,0.04951436974911276,0.015781182503679065,124.29335378019297,0.8570986986160278,0.017588999651478393,0.02231169097936952,0.05428317937341903,0.03558278123954099,0.04240953832903799,13.117678822157625,0.010000000000000002,0.055611221214566756,0.03871980329841643,845000,0.04685389919451879,0.02359915610533877,0.02030052556405346,3.574951648712158,125.19740295410156,86.8035888671875,0.846630334854126,0.0643955076219302,-88.22186279296875,0.15,0.864780068397522,1,0.06102645689967328,0.05159361574876897,0.024364200848695672,-126.0244314316665,1780809013.597312,1717.020321699,48.08685937363772,0.016984909018613176,0.014383477280836575,1,5.874969959259033,959748.0,4,0.025446726611542132,86.57853698730469,0.012905796760104843,0.02277285916783741,2.3830378474946508,0.05,13.014169692993164,0.2834248945652368
0.01601392232415003,0.013475246113497163,89.14903259277344,0.20527523463346153,0.008964898518844178,0.03465498964435588,0.017932089728911187,0.03357747949664024,0.022454773963627477,0.0222247252886508,0,250.31778521185947,950000.0,0.05273022585188321,0.026754739457529285,0.03467540053772533,0.046947519829351844,0.018157565347291738,189.68190263757444,0.8928076028823853,0.018233873614707484,0.02293865344137491,0.04837794416912715,0.033063184157047495,0.04099957982609479,13.092506539861944,0.010000000000000002,0.05869429333402178,0.04097564043025691,845000,0.03774412797833242,0.027852760078731963,0.02621068657410521,NaN,126.72496795654297,88.84564208984375,1.040196418762207,0.056432518662870135,0.0,0.15,0.7061020135879517,1,0.06129265599910342,0.04691346798810306,0.025983752357577137,-60.635882574285034,1780809359.5529642,2062.976067307,70.79863300280658,0.020856670641551358,0.021258432616289652,1,9.975180625915527,964808.0,5,0.02649292763923174,89.0721206665039,0.0148788641517711,0.02223640168479433,2.390955251529225,0.05,6.710422039031982,0.28270467185113984
0.01798554650382013,0.01583308799066455,91.43096923828125,0.19991624132132124,0.009780149285656375,0.033928888130026896,0.01789136620515303,0.03335918827234088,0.022214826488414326,0.023477869236187356,0,250.31778521185947,955000.0,0.05463528844351704,0.025683003230574163,0.033156314212325455,0.044197817777056954,0.016535146872991242,203.88261733487303,1.2849462032318115,0.019219029760239897,0.023795376444185102,0.049801739663691134,0.030865728457433145,0.04137812164284893,12.95593223984177,0.010000000000000002,0.05156464126464483,0.04240301465061871,845000,0.038056942125832716,0.027743307683314827,0.023836876881887785,NaN,127.963134765625,90.95600891113281,1.2629631757736206,0.06056554065362827,0.0,0.15,0.9355497360229492,1,0.05850801774376148,0.046357191927932404,0.02722575744211271,-46.43516787698644,1780809702.6063547,2406.029428428,64.71088846242829,0.020434106486169872,0.021963191830326575,1,8.818751335144043,969868.0,6,0.02958577083776126,91.4161376953125,0.014795662451636146,0.023221499873576936,2.381384306856104,0.05,7.653711795806885,0.2843713728962718
0.017259156212203485,0.014998115685878678,88.27586364746094,0.20448283938045664,0.011316574187823808,0.03451440749551896,0.017897709238067758,0.03123332898708865,0.023124394794483243,0.024709413082655285,0,250.31778521185947,960000.0,0.05543281434460599,0.025636986722224916,0.03723975344040253,0.04199785641121164,0.021029184014187755,245.34685986737458,0.807260274887085,0.019847254971126535,0.021300721502144883,0.04853632322067074,0.03053320472418215,0.03503981133774138,13.430284199976256,0.010000000000000002,0.05330469833975577,0.03898187620606528,845000,0.03949532583463467,0.024547688932811503,0.028940574181758234,2.4635722637176514,129.38514709472656,88.33607482910156,0.8075785636901855,0.05192901898996548,-89.70913696289062,0.15,0.8540970683097839,1,0.0600422349174913,0.044135938967731395,0.032266530857257426,-4.970925344484897,1780810061.1257727,2764.548864689,53.35195420000485,0.021330072253196716,0.022479927846516506,1,8.435708999633789,974924.0,7,0.030670448987994835,88.35942840576172,0.016609853509584077,0.023618811299115475,2.3940686445263744,0.05,7.462972164154053,0.28520213788925625
0.019402306576136865,0.016342546515055713,88.55430603027344,0.1901794053624123,0.009897202076819904,0.034534077152727154,0.01814962610397048,0.03226165097998822,0.02332130782578572,0.020629776946056312,0,250.31778521185947,965000.0,0.05639927873033842,0.025074838501944953,0.03372776715862235,0.048297306577202576,0.018342564530415027,188.66145367372314,1.138055443763733,0.019920007160186968,0.024036172928793526,0.04835541423565223,0.03500144986102632,0.041603994191204134,13.046529370834643,0.010000000000000002,0.04828824574720739,0.041793806279335835,845000,0.046106875919149214,0.027221307919032798,0.025203278440672012,NaN,128.3270721435547,88.1549072265625,0.911939263343811,0.054020985129160475,0.0,0.15,0.8889386653900146,1,0.06166414038201687,0.04469381926918593,0.02487010397153191,-61.65633153813633,1780810408.6909266,3112.113959826,51.73426759383465,0.02011046881962429,0.018792543511814672,1,8.823890686035156,979979.0,8,0.027593214887731757,88.54817199707031,0.015016254541517579,0.01932767795815779,2.3863018637164775,0.05,8.291668891906738,0.2858387971521094
0.019373618331618884,0.015551286616201617,89.7040023803711,0.19704350967533998,0.011211574165203585,0.03447135680763157,0.018433453186738995,0.031617920077268644,0.02266913738370688,0.020982962732948,0,250.31778521185947,970000.0,0.05534050362513992,0.02781686478263327,0.0341359955887173,0.04254432959474755,0.018631019422552075,236.02436864052234,1.1045479774475098,0.02148663165223417,0.022485765909834643,0.04753874960284102,0.03356234932159145,0.03797449680843001,13.096412648386478,0.010000000000000002,0.04730640160018662,0.043387883988690285,845000,0.039850121631135174,0.028862158831461444,0.02721003723360071,NaN,130.29737854003906,89.33953857421875,1.0389487743377686,0.052071375472284485,0.0,0.15,0.6949443817138672,1,0.05534286865843771,0.043860980410180064,0.029860502871920762,-14.293416571337133,1780810756.1478121,3459.570805609,48.86040869000316,0.021725961359397073,0.024781885745794253,1,6.677613735198975,985035.0,9,0.03332297614142518,89.73379516601562,0.014889245004985986,0.02169959654405801,2.3887338234305617,0.05,5.385129451751709,0.28471885977243394
0.01845347332934543,0.015100174947442284,91.23731994628906,0.1823753316290058,0.01054921158166015,0.03232391821995893,0.016774838957569663,0.02972132298865393,0.022658501978235282,0.020044438562933548,0,251.59376948612908,975000.0,0.057743827196428774,0.028537004097940712,0.035208540206288934,0.041466087512358314,0.019920593113668953,251.59376948612908,0.6761949062347412,0.01963729760021501,0.02503961340939823,0.047750734590809404,0.03227694152259347,0.035866607781203416,13.067241005857376,0.010000000000000002,0.04980935924054865,0.04106702525917897,975000,0.046029973815224015,0.028293427061185004,0.028475197922469747,1.6638094186782837,132.48333740234375,91.25155639648438,0.5458798408508301,0.050840714759950445,-92.1395492553711,0.15,0.7415669560432434,1,0.058538713833095876,0.04351335600666681,0.03155313759878403,0.0,1780811103.8205507,3807.243598151,27.375855429206204,0.02015108289545571,0.027130256046064484,1,11.584859848022461,990092.0,10,0.028708851896226406,91.19173431396484,0.015955569926506454,0.02086021706123877,2.3788804914262163,0.05,11.86171817779541,0.28614205924900366
0.01608095199972037,0.015588937376476972,94.05042266845703,0.18639798970547916,0.008460898112869838,0.03479171880918261,0.020286282892628047,0.03139204647800488,0.02467993566645814,0.019966132787844877,0,251.59376948612908,980000.0,0.061748295094783426,0.025945150160539495,0.03372135418227319,0.04632909099178947,0.01664796298526011,150.46533272632513,0.7760862112045288,0.019319505729101096,0.027132065739738538,0.04564109283451439,0.03367738425854687,0.04016423257144077,12.950420630340375,0.010000000000000002,0.053903421355089076,0.03851756727128552,975000,0.04421950547243598,0.027956474759422804,0.023616269989925852,NaN,131.48985290527344,94.42195129394531,0.6427121758460999,0.057624856270898916,0.0,0.15,0.7433319091796875,1,0.061775789791755034,0.04483765149870432,0.021845917445035404,-101.12843675980395,1780811451.3653936,4154.788343854,53.70598779760141,0.02098552764318342,0.019382408283075105,1,13.695694923400879,995148.0,11,0.02452255113362833,94.0976791381836,0.014446300977307078,0.024792730381965757,2.3799305278684852,0.05,8.608209609985352,0.2871610454752392
0.01678333090612574,0.015077298204225252,93.87391662597656,0.1882429586647412,0.01080968286946219,0.03155512236649307,0.01854594554813632,0.030709181251610075,0.026508757749920696,0.02278126542417643,0,251.59376948612908,985000.0,0.0542589823821393,0.03119520973262748,0.034480005694360175,0.04483770614497485,0.01968195584765446,223.91534166402462,0.7656868696212769,0.02058910303966831,0.023942171472003608,0.04933367887648141,0.03322414402581176,0.03576539617364969,12.973238228782405,0.010000000000000002,0.046035091807248026,0.04290549596771598,975000,0.04351903882816555,0.028564196513450848,0.0296438647835417,NaN,133.35166931152344,93.55036926269531,0.7179262042045593,0.05396525142714381,0.0,0.15,0.5926612615585327,1,0.05968737807806309,0.039700282427171864,0.030848844192649532,-27.678427822104453,1780811796.661352,4500.084237422,48.022772912875446,0.02077078561078969,0.02143985757980935,1,7.855355262756348,1000203.0,12,0.026336500676239015,93.85643005371094,0.015136626969769263,0.02136785942375872,2.371045046947836,0.05,7.975551128387451,0.2891363044822119
0.017238509940541335,0.015210551541147347,93.30121612548828,0.1859471328931281,0.011391417867017126,0.03233906666601672,0.018769347252380955,0.03138819677083928,0.02393758818270818,0.0198484646936472,0,251.59376948612908,990000.0,0.053613224220911256,0.027475960418667057,0.033829447856352564,0.04474367183174579,0.01827170420012574,221.76845985028476,0.7716789841651917,0.0189645681591695,0.025719839584101276,0.04444852829130773,0.03266914843340513,0.040837912130060834,13.168728907822352,0.010000000000000002,0.04760488751651672,0.04234874019881493,975000,0.042151028430325733,0.0305347245408761,0.02571063901340296,3.285310983657837,133.90469360351562,93.44465637207031,0.7122247219085693,0.05688791605194813,-94.84596252441406,0.15,0.8942477107048035,1,0.0632143876992809,0.04458479396998882,0.02807543938317653,-29.82530963584432,1780812144.0323937,4847.455324368,30.982600329521457,0.022368856980867192,0.02133498072888948,1,14.050915718078613,1005257.0,13,0.02783213492700367,93.68083190917969,0.01323841918439505,0.02341591392780848,2.3906083892444667,0.05,8.681598663330078,0.28421063849768663
0.019325607637498594,0.014836160961729699,94.55331420898438,0.17175390959331446,0.010092637256625634,0.03266966370377673,0.018631851381172862,0.03268850191321435,0.02313279034519023,0.020657787486599702,0,251.59376948612908,995000.0,0.0524311625829788,0.02988210487571915,0.033787248133047273,0.04384450448725747,0.01846820643470586,199.16046480686583,0.8398549556732178,0.018296411709847766,0.02534315192677471,0.051284963966603495,0.037363203085845086,0.03995954845909957,13.01773902630702,0.010000000000000002,0.05178411234999848,0.04034354833999901,975000,0.042676756752240086,0.027906983689197612,0.027355772146231222,NaN,133.49732971191406,94.58891296386719,1.2212982177734375,0.053099795897373334,0.0,0.15,1.257215976715088,1,0.05665503627128541,0.04785833350793503,0.02502847022293583,-52.433304679263244,1780812504.512579,5207.935582654,57.75957473299858,0.021323011021381934,0.020863273352594015,1,13.178074836730957,1010310.0,14,0.024859834766405835,94.88848876953125,0.015329818834050449,0.022219757908877945,2.399734012034262,0.05,10.428644180297852,0.2782011351438329
0.01838069344483829,0.015290911339800844,95.59976196289062,0.18864787161075275,0.011294214493869211,0.03372346354154617,0.019351805419571665,0.033774122236090436,0.02509405940143092,0.020293247702022107,0,251.59376948612908,1000000.0,0.050815890803699824,0.030044554246663423,0.03411695037507656,0.04194566919536394,0.02110405796132632,213.22621616584857,0.8530738353729248,0.01989036737766218,0.026202700612191616,0.04630573636352518,0.0382489941777012,0.03903599187443985,13.237131163571224,0.010000000000000002,0.0501956856558741,0.04302529475431975,975000,0.0437442797677502,0.028100907923614835,0.025720111503205526,NaN,134.9804229736328,95.17086791992188,0.8106234073638916,0.05304480388776121,0.0,0.15,0.7824128866195679,1,0.057641320603283315,0.041744292960628586,0.025298338159841012,-38.36755332028051,1780812866.5658908,5569.989041403,61.860324980905446,0.021969940833696834,0.020359304563690655,1,8.524035453796387,1015363.0,15,0.028227811627233857,95.60195922851562,0.013714298686607583,0.02230018975518426,2.396720837327284,0.05,7.987838268280029,0.28166135400533676
